,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
48,Germany,China,47,1361,15911,0.034533431300514325,0.00295393124253661
379,Germany,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
380,Germany,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
381,Germany,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
382,Germany,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
383,Germany,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
384,Germany,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
385,Germany,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
386,Germany,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
387,Germany,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
388,Germany,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
390,Germany,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
391,Germany,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
392,Germany,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
393,Germany,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
394,Germany,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
395,Germany,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
396,Germany,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
397,Germany,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
398,Germany,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
399,Germany,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
400,Germany,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
401,Germany,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
402,Germany,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
403,Germany,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
404,Germany,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
405,Germany,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
406,Germany,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
407,Germany,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
408,Germany,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
409,Germany,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1071,Germany,India,0,1361,20,0.0,0.0
1102,Germany,Iraq,0,1361,21,0.0,0.0
1133,Germany,Pakistan,0,1361,598,0.0,0.0
1164,Germany,Russia,0,1361,5184,0.0,0.0
1195,Germany,Saudi Arabia,0,1361,1380,0.0,0.0
1226,Germany,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
